Location,The bank is located in Basundhara.
Loyalty program rewards,"To check your loyalty program rewards balance, log in to your account and navigate to the 'Rewards' section."
Financial planning services,We offer financial planning services through our certified advisors. Schedule an appointment through our website or at a branch.
Wealth management consultation,"For wealth management consultations, contact our wealth management team via our website or at select branches."
Insurance services,We provide a range of insurance products. Visit our insurance section on the website or talk to an advisor at the branch.
Retirement account services,"For information on retirement accounts, including opening and management, visit our retirement services page or branch."
Mobile number update,"To update your registered mobile number, log in to your online banking account and go to 'Profile' settings."
Feedback submission,We value your feedback. You can submit your feedback through our website's 'Feedback' section or directly via email.
Fixed Deposit interest rates,Current Fixed Deposit interest rates are available on our website or by contacting your branch.
SMS banking services,You can register for SMS banking services by visiting your nearest branch or through our mobile app.
Update nominee,"To update the nominee on your account, please visit the branch with the necessary documents."
Cheque deposit status,You can check the status of your cheque deposit through the 'Cheque Status' feature in online banking.
Auto-debit setup,"To set up an auto-debit, log in to your online banking account and select 'Auto-debit' under the payments section."
Overdraft limit increase,"To request an increase in your overdraft limit, please contact your branch manager or apply through our website."
Change communication preferences,You can update your communication preferences in the 'Profile' section of your online banking account.
Fixed Deposit maturity notification,You will receive a notification before your Fixed Deposit matures. You can also view the maturity date in online banking.
Foreign currency account,"To open a foreign currency account, visit the nearest branch with the required documents."
Tax certificate request,You can request a tax certificate for your account via our online banking platform or at your branch.
Mobile number verification,"To verify your mobile number, please log in to your online banking and enter the OTP sent to your registered number."
Recurring deposit setup,"To set up a recurring deposit, log in to your online banking account and select 'Recurring Deposit' from the menu."
Debit card PIN reset,"If you have forgotten your debit card PIN, you can reset it through our mobile app or by visiting an ATM."
Request for a bank statement,You can request a physical bank statement to be mailed to you through the online banking 'Statements' section.
Investment advisory services,Our investment advisory team is available for consultations. Schedule an appointment through our website.
Standing instruction setup,You can set up a standing instruction for regular payments through online banking or by visiting a branch.
Export documentation assistance,"For assistance with export documentation, please contact our trade finance department."
Credit card fraud alert,"If you suspect credit card fraud, please block your card immediately via the app and contact customer service."
Request for financial reports,You can request your account’s financial reports through our customer service or online banking platform.
Upgrade to a premium account,"To upgrade to a premium account, please visit your nearest branch or apply online through your account portal."
Tax filing assistance,We offer tax filing assistance for our customers. Contact our tax advisory team for more information.
Customer feedback tracking,You can track the status of your feedback or complaint via our website using your feedback reference number.
Security alert notification,"In case of any security alerts on your account, you will be notified via SMS and email immediately."
Early loan repayment,"For early loan repayment, please contact your loan officer to understand the terms and any applicable fees."
Savings account interest payment,Interest on your savings account is credited quarterly. You can view the interest payments in your account statement.
Fixed Deposit renewal options,You can renew your Fixed Deposit online or at the branch. Choose from various renewal options available.
International travel notification,Please notify us of your international travel plans so we can ensure your card works seamlessly abroad.
Activate internet banking,"To activate internet banking, please visit our website and follow the registration process."
Mortgage document checklist,"For a mortgage application, please refer to our mortgage document checklist available on our website."
Interest certificate request,"To request an interest certificate for your loans or deposits, use the online banking portal or visit your branch."
Secure banking guidelines,Follow our secure banking guidelines on the website to protect your account from fraud.
Debit card renewal,Your debit card will be automatically renewed upon expiry. The new card will be sent to your registered address.
Account dormancy prevention,"To prevent your account from becoming dormant, ensure you perform at least one transaction every six months."
Personal loan eligibility check,You can check your personal loan eligibility instantly through our mobile app or by visiting a branch.
Request for credit card statement,You can request a copy of your credit card statement through the mobile app or by contacting customer service.
Money transfer to another bank,"To transfer money to another bank, use the 'Transfer' option in online banking or our mobile app."
ATM card deactivation,"To deactivate your ATM card, please call our helpline or do it online through your account settings."
Request account closure form,You can download the account closure form from our website or request it at any branch.
Customer loyalty points redemption,You can redeem your loyalty points for rewards through our online banking 'Rewards' section.
EMI payment reminder,You will receive an SMS reminder for your EMI payments three days before the due date.
Mortgage approval timeline,Mortgage approvals typically take 7-10 business days. Track your application status online.
Unblock ATM card,"To unblock your ATM card, please contact customer service or visit your nearest branch."
Fixed Deposit interest payout options,"Choose between monthly, quarterly, or annual interest payouts for your Fixed Deposit during the setup."
Contactless payment activation,Activate contactless payment on your debit/credit card via the mobile app or by visiting a branch.
Apply for a second credit card,You can apply for a second credit card through our online banking portal or by visiting the nearest branch.
Credit score inquiry,Check your credit score through our online banking portal or request it at any branch.
Foreign remittance tracking,Track your foreign remittance status via the 'Remittance' section in online banking or contact customer service.
Home loan refinancing options,Explore home loan refinancing options with our mortgage specialists at your branch or via the website.
